method,bin,cv_A,probability,pmf_kcal_mol,counts,boost_mean_kj_mol,boost_var_kj2_mol2
gamd_cumulant3,0,0.037104567109296716,0.009872752343242114,1.333319085803202,1133,7.928186913935086,76.90285163620845
gamd_cumulant3,1,0.06925855269655586,0.0906870054213232,0.011250730775456796,23245,6.436092277766193,69.37437989737452
gamd_cumulant3,2,0.101412538283815,0.09241469800157862,0.0,108700,6.073856916925423,64.85583346958849
gamd_cumulant3,3,0.13356652387107412,0.09046002977201832,0.012744701281144133,177989,6.4533449993879595,66.07440863451346
gamd_cumulant3,4,0.16572050945833325,0.06499367002251533,0.209846477111163,198215,6.710006027166722,65.69726162866773
gamd_cumulant3,5,0.1978744950455924,0.06664475245619869,0.19489091907112277,198465,6.5648804653171675,64.4773520790716
gamd_cumulant3,6,0.23002848063285153,0.06316885258600659,0.22682427992874366,191778,6.213243442620005,62.187117333849606
gamd_cumulant3,7,0.26218246622011065,0.07233924376169194,0.14601138058995589,183571,6.0618198283057225,61.626102659855874
gamd_cumulant3,8,0.2943364518073698,0.06428950088843784,0.21634078753191943,177687,6.20207393862118,61.89235547507404
gamd_cumulant3,9,0.3264904373946289,0.06708356887887901,0.19097841504023516,174996,6.130340477350964,61.29617550233945
gamd_cumulant3,10,0.35864442298188803,0.04932800009743607,0.37426656977799455,176950,6.34299525363816,61.031561115353306
gamd_cumulant3,11,0.39079840856914716,0.04041593129558031,0.4930623320359737,177932,6.292731359412528,59.73646994713518
gamd_cumulant3,12,0.42295239415640634,0.03664422892490623,0.551467116615191,178782,6.127509385217797,58.08231492612037
gamd_cumulant3,13,0.45510637974366547,0.03126729511938867,0.6460679462308512,182251,6.144497491591425,57.38507700479945
gamd_cumulant3,14,0.4872603653309246,0.02556820886405697,0.7660292643038902,187079,6.081147306929285,56.08712804628335
gamd_cumulant3,15,0.5194143509181837,0.024198940551149992,0.7988425087372037,183010,6.020749309945715,55.52689176893715
gamd_cumulant3,16,0.5515683365054429,0.021143378141071967,0.8793136022428938,176656,6.185778220237611,55.93514187863518
gamd_cumulant3,17,0.5837223220927019,0.01949732782840308,0.9276320829924674,170642,6.460831909342389,56.617723912361754
gamd_cumulant3,18,0.6158763076799612,0.018476238192529526,0.9597007530316912,170628,6.235154487921226,55.24894786340107
gamd_cumulant3,19,0.6480302932672202,0.017412881746011515,0.9950383450730602,172676,5.881818496716452,53.30663579590363
gamd_cumulant3,20,0.6801842788544794,0.010425145706675364,1.3008628316912907,178187,5.725088427611822,50.72051078981686
gamd_cumulant3,21,0.7123382644417384,0.0062454993787041755,1.6063118088441766,187753,5.7740160481106475,48.735608619258564
gamd_cumulant3,22,0.7444922500289977,0.004575198907499413,1.79184371454127,200024,5.8080023735323065,47.04363448726639
gamd_cumulant3,23,0.7766462356162568,0.003446216385801375,1.9607798705371817,203799,5.8686327849206466,45.90916745007142
gamd_cumulant3,24,0.8088002212035159,0.00289433483026464,2.064822896436528,200205,6.167097482704818,46.590561466355155
gamd_cumulant3,25,0.8409542067907751,0.0024191536516491637,2.1717370120803317,184646,5.77145983775188,45.16679232877058
gamd_cumulant3,26,0.8731081923780342,0.0011081114226644503,2.6371962506790476,132141,6.336923864401764,45.22684472791014
gamd_cumulant3,27,0.9052621779652934,0.0015086123765219157,2.4532607474227754,70163,5.64875982308095,45.505207370744984
gamd_cumulant3,28,0.9374161635525524,0.0014701185656221087,2.4686698579030404,14284,6.549458261594205,53.1226412987254
gamd_cumulant3,29,0.9695701491398117,1.1038821714975854e-06,6.757612143157508,349,11.617717537723951,25.10761233621018
